id,terrestrial_date,sol,ls,month,min_temp,pressure
2,8/16/2012,10,155,6,-75,739
13,8/17/2012,11,156,6,-76,740
24,8/18/2012,12,156,6,-76,741
35,8/19/2012,13,157,6,-74,732
46,8/20/2012,14,157,6,-74,740
57,8/21/2012,15,158,6,-78,740
68,8/22/2012,16,158,6,-77,740
79,8/23/2012,17,159,6,-76,742
112,8/27/2012,21,161,6,-74,741
114,8/28/2012,22,162,6,-74,742
123,8/29/2012,23,162,6,-75,741
134,8/30/2012,24,163,6,-75,742
145,8/31/2012,25,163,6,-75,743
156,9/1/2012,26,164,6,-76,745
163,9/2/2012,27,164,6,-75,743
170,9/3/2012,28,165,6,-75,745
171,9/4/2012,29,166,6,-75,747
172,9/5/2012,30,166,6,-74,747
173,9/6/2012,31,167,6,-74,745
175,9/8/2012,33,168,6,-73,748
176,9/10/2012,34,168,6,-73,748
177,9/11/2012,35,169,6,-73,749
178,9/12/2012,36,169,6,-73,750
179,9/13/2012,37,170,6,-73,750
180,9/14/2012,38,171,6,-73,750
181,9/15/2012,39,171,6,-75,751
182,9/16/2012,40,172,6,-75,753
183,9/17/2012,41,172,6,-75,753
184,9/18/2012,42,173,6,-75,754
185,9/19/2012,43,173,6,-74,756
186,9/20/2012,44,174,6,-75,757
187,9/21/2012,45,175,6,-74,758
188,9/22/2012,46,175,6,-74,758
189,9/23/2012,47,176,6,-75,758
190,9/24/2012,48,176,6,-75,759
191,9/25/2012,49,177,6,-74,761
192,9/26/2012,50,177,6,-72,761
193,9/27/2012,51,178,6,-76,762
194,9/28/2012,52,179,6,-74,762
195,9/29/2012,53,179,6,-71,764
196,9/30/2012,54,180,7,-72,766
197,10/1/2012,55,180,7,-74,766
198,10/2/2012,56,181,7,-73,768
199,10/3/2012,57,181,7,-73,769
200,10/4/2012,58,182,7,-74,769
201,10/5/2012,59,183,7,-76,771
202,10/6/2012,60,183,7,-75,772
203,10/7/2012,61,184,7,-72,772
204,10/8/2012,62,184,7,-72,774
205,10/9/2012,63,185,7,-73,775
206,10/10/2012,64,186,7,-74,776
207,10/11/2012,65,186,7,-72,777
208,10/12/2012,66,187,7,-73,778
209,10/13/2012,67,187,7,-73,780
210,10/14/2012,68,188,7,-71,781
211,10/15/2012,69,189,7,-73,778
212,10/17/2012,70,189,7,-72,783
213,10/18/2012,71,190,7,-71,784
214,10/19/2012,72,190,7,-73,785
215,10/20/2012,73,191,7,-70,788
216,10/21/2012,74,192,7,-72,790
217,10/22/2012,75,192,7,-73,791
218,10/23/2012,76,193,7,-73,792
219,10/24/2012,77,193,7,-71,792
220,10/25/2012,78,194,7,-71,793
221,10/26/2012,79,195,7,-73,795
222,10/27/2012,80,195,7,-70,796
